2016-04-01,37721
2016-05-04,核心:38800,DB:38622
2016-06-03,核心:40569,DB:40320
2016-07-04,核心:41735,DB:40320
2016-08-02,核心:43708,DB:40320
2016-09-01,核心:44976,DB:40320
2016-09-30,核心:46020,DB:45708
2016-11-01,核心:46569,DB:46361
2016-12-01,核心:47553,DB:46898
2017-01-01,核心:48587,DB:46898
2017-01-05,核心:48680,DB:46898
2017-01-10,核心:48791,DB:46898
2017-02-06,核心:48926,DB:46898
2017-02-21,核心:49549,DB:46898
2017-03-27,核心:50719,DB:50494
2017-04-01,核心:51052,DB:50494
2017-05-02,核心:52346,DB:50494
2017-05-03,核心:52409,DB:50494
2017-06-01,核心:54519,DB:54271
2017-06-12,核心:55257,DB:54271
2017-06-22,核心:55951,DB:54271
2017-07-01,核心:56511,DB:54271
2017-07-04,核心:56679,DB:54271
2017-07-06,核心:56795,DB:54271
2017-08-05,核心:58317,DB:54271
2017-09-02,核心:60188,DB:59929
2017-09-07,核心:60462,DB:60206
2017-10-13,核心:61666,DB:61528
2017-11-06,核心:62724,DB:61864
2017-11-09,核心:62985,DB:62655
2017-12-02,核心:64240,DB:62655
2017-12-06,核心:64413,DB:62655
2017-12-20,核心:65445,DB:64892
2017-12-27,核心:65713,DB:65559
2017-12-27,核心:65805,DB:65559
2018-01-08,核心:66357,DB:66382
2018-01-10,核心:66580,DB:66382
2018-01-11,核心:66654,DB:66382
2018-01-16,核心:66874,DB:66761
2018-01-17,核心:66959,DB:66761
2018-01-18,核心:67032,DB:66761
2018-01-19,核心:67073,DB:66761
2018-01-31,核心:67835,DB:67788
2018-03-05,核心:68469,DB:67869
2018-03-07,核心:68560,DB:67869
2018-04-10,核心:70005,DB:69594
2018-04-11,核心:70140,DB:69594
2018-04-12,核心:70224,DB:69594
2018-04-24,核心:70632,DB:69594
2018-05-08,核心:71190,DB:70793
2018-06-04,核心:73195,DB:73157
2018-06-05,核心:73253,DB:73157
